,bsz,sq,sk,hq,hk,hdim,time(ms),qaratio,run_mode,causal,has_end
369,1,2048,2048,32,32,128,2.2632777886312514,6,attentionmask,True,False
370,1,2048,2048,32,32,128,3.951138981053087,6,math_attention,True,False
371,1,4096,4096,32,32,128,8.16044919034268,6,attentionmask,True,False
372,1,4096,4096,32,32,128,15.090113091976088,6,math_attention,True,False
373,1,8192,8192,32,32,128,31.19855751593908,6,attentionmask,True,False
374,1,8192,8192,32,32,128,61.92882011334102,6,math_attention,True,False
375,1,16384,16384,32,32,128,121.47588157653809,6,attentionmask,True,False
376,1,16384,16384,32,32,128,275.7423635482788,6,math_attention,True,False
377,1,32768,32768,32,32,128,485.0969690322877,6,attentionmask,True,False
378,1,32768,32768,32,32,128,,6,math_attention,True,False
379,1,65536,65536,32,32,128,1957.1396802266436,6,attentionmask,True,False
380,1,65536,65536,32,32,128,,6,math_attention,True,False
381,1,131072,131072,32,32,128,7828.116038287128,6,attentionmask,True,False
382,1,131072,131072,32,32,128,,6,math_attention,True,False
386,1,2048,2048,32,32,128,2.2722014136936357,1,attentionmask,True,False
387,1,2048,2048,32,32,128,3.953780298647673,1,math_attention,True,False
388,1,4096,4096,32,32,128,8.185429265422206,1,attentionmask,True,False
389,1,4096,4096,32,32,128,15.118220852267363,1,math_attention,True,False
390,1,8192,8192,32,32,128,31.446405579062077,1,attentionmask,True,False
391,1,8192,8192,32,32,128,61.96849570554846,1,math_attention,True,False
392,1,16384,16384,32,32,128,121.33343039332208,1,attentionmask,True,False
393,1,16384,16384,32,32,128,275.235789530986,1,math_attention,True,False
394,1,32768,32768,32,32,128,484.5974666050502,1,attentionmask,True,False
395,1,32768,32768,32,32,128,,1,math_attention,True,False
396,1,65536,65536,32,32,128,1965.2265790530607,1,attentionmask,True,False
397,1,65536,65536,32,32,128,,1,math_attention,True,False
398,1,131072,131072,32,32,128,7844.465599993002,1,attentionmask,True,False
399,1,131072,131072,32,32,128,,1,math_attention,True,False
439,1,2048,2048,32,32,128,2.2677179177602134,2,attentionmask,True,False
440,1,2048,2048,32,32,128,3.951208790143332,2,math_attention,True,False
441,1,4096,4096,32,32,128,8.175550518613875,2,attentionmask,True,False
442,1,4096,4096,32,32,128,15.086126327514648,2,math_attention,True,False
443,1,8192,8192,32,32,128,31.163547319524422,2,attentionmask,True,False
444,1,8192,8192,32,32,128,61.926344983717975,2,math_attention,True,False
445,1,16384,16384,32,32,128,121.5000276565552,2,attentionmask,True,False
446,1,16384,16384,32,32,128,275.7800194422404,2,math_attention,True,False
447,1,32768,32768,32,32,128,485.1615537296642,2,attentionmask,True,False
448,1,32768,32768,32,32,128,,2,math_attention,True,False
449,1,65536,65536,32,32,128,1954.4076138529288,2,attentionmask,True,False
450,1,65536,65536,32,32,128,,2,math_attention,True,False
475,1,131072,131072,32,32,128,7884.256060745406,2,attentionmask,True,False
476,1,131072,131072,32,32,128,,2,math_attention,True,False
